date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-11 01:00:00,35.7377323515449,38.4472824541015,49.2253801207029,1,2,Winter,40.6,0.59,99.9
2023-02-11 02:00:00,32.9370595400163,35.809546610029,46.3158774962298,2,2,Winter,35.0,0.24,99.9
2023-02-11 03:00:00,32.3483807260695,35.7966289181388,47.618908337413,3,2,Winter,34.2,-0.04,99.9
2023-02-11 04:00:00,33.1461110606915,36.8580966429245,46.5245097596212,4,2,Winter,35.6,-0.57,99.9
2023-02-11 05:00:00,28.6734407757692,33.9529574352388,44.2461196129857,5,2,Winter,33.1,-0.68,99.9
2023-02-11 06:00:00,25.2768466470489,32.2013574469574,41.2658416723003,6,2,Winter,28.4,-1.11,99.9
2023-02-11 07:00:00,34.9218624911152,38.1115684061348,49.0933716660023,7,2,Winter,36.5,-1.28,99.9
2023-02-11 08:00:00,28.9338605553802,35.5001064186634,44.0100495175773,8,2,Winter,31.9,-1.12,99.9
2023-02-11 09:00:00,39.7088794193568,40.8102199799759,51.9915406670361,9,2,Winter,39.8,-0.09,99.9
2023-02-11 10:00:00,41.4242179962247,41.447554978473,53.3154478549332,10,2,Winter,43.1,1.35,99.9
2023-02-11 11:00:00,34.8000261005622,35.0944781631186,43.4823138734168,11,2,Winter,36.8,7.14,92.26
2023-02-11 12:00:00,30.9157220242493,29.0641105621112,37.6188772657597,12,2,Winter,30.7,18.6,57.71
2023-02-11 13:00:00,26.9295604462142,24.4529845262457,33.9239752344119,13,2,Winter,26.7,20.96,49.39
2023-02-11 14:00:00,25.2884223539091,23.875174755403,32.9718117547782,14,2,Winter,23.2,21.59,47.31
2023-02-11 15:00:00,28.8357230968611,24.6954799911174,36.8572594972623,15,2,Winter,26.9,15.7,56.29
2023-02-11 16:00:00,24.5047506328907,27.8750599744691,35.5771023563731,16,2,Winter,26.1,9.58,68.82
2023-02-11 17:00:00,28.4458756714278,30.8835286762632,39.8750827394409,17,2,Winter,30.3,8.36,74.25
2023-02-11 18:00:00,31.606896987288,33.5033246922784,42.4966151001085,18,2,Winter,33.5,6.83,82.35
